Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TCCFX,11.39,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
ISMTX,11.39,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
TSLAX,11.39,2017/08/04,17:34 EDT,0.08,,,,,,,,,,,
HDMBX,17.08,2017/08/04,17:26 EDT,0.12,,,,,,,,,,,
IHSFX,19.92,2017/08/04,17:26 EDT,0.14,,,,,,,,,,,
FMYTRX,9.5139,2014/07/17,20:01 EDT,0.0669,,,,,,,,,,,
DISFX,15.64,2017/08/03,20:00 EDT,0.11,,,,,,,,,,,
FJUIRX,10.3574,2017/08/04,17:00 EDT,0.0729,,,,,,,,,,,
CCASX,46.86,2017/08/04,17:02 EDT,0.33,,,,,,,,,,,
FFBFX,41.14,2017/08/04,17:14 EDT,0.29,,,,,,,,,,,
FLAKBX,9.2165,2016/04/21,20:01 EDT,0.065,,,,,,,,,,,
ESDCX,8.5,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
JEEAX,14.16,2017/08/04,17:43 EDT,0.1,,,,,,,,,,,
IFINFX,11.5211,2017/08/04,17:26 EDT,0.0814,,,,,,,,,,,
MMQLX,16.98,2017/08/04,17:17 EDT,0.12,,,,,,,,,,,
ESDIX,8.49,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
CCFCX,11.31,2016/05/23,06:15 EDT,0.08,,,,,,,,,,,
FYNZOX,9.4814,2017/08/04,17:00 EDT,0.0317,,,,,,,,,,,
HJPNX,31.03,2017/08/04,17:16 EDT,0.01,,,,,,,,,,,
CPMMEX,5.8229,2015/10/28,20:01 EDT,0.0413,,,,,,,,,,,
HSSIX,43.7,2017/08/04,17:14 EDT,0.31,,,,,,,,,,,
FZANSX,9.4869,2017/08/04,17:00 EDT,0.0673,,,,,,,,,,,
AAMIUX,10.1867,2015/12/14,20:01 EST,0.0723,,,,,,,,,,,
LMCLX,8.45,2017/08/04,17:16 EDT,0.06,,,,,,,,,,,
DSKIX,18.3,2017/08/03,20:00 EDT,0.13,,,,,,,,,,,
IUTBX,9.85,2017/08/04,17:28 EDT,0.07,,,,,,,,,,,
SBMBX,11.25,2017/08/04,17:03 EDT,0.08,,,,,,,,,,,
MURSX,16.87,2017/08/04,16:39 EDT,0.12,,,,,,,,,,,
MSUSX,16.86,2017/08/04,16:39 EDT,0.12,,,,,,,,,,,
FHCRMX,10.8019,2017/08/04,17:00 EDT,0.0769,,,,,,,,,,,
