RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ALDX,ALDX:US,BBG0029H8ZF6,2017-02-27,4.95,5.15,4.9,4.95,112446.0,0.0,1.0,4.95,5.15,4.9,4.95,112446.0
ALGN,ALGN:UW,BBG000BRNWJ1,2017-02-27,102.57,103.24,102.11,102.26,631021.0,0.0,1.0,102.57,103.24,102.11,102.26,631021.0
ALGT,ALGT:UW,BBG000LJTKK6,2017-02-27,173.1,173.95,170.3,173.3,86665.0,0.0,1.0,171.557330613917,172.399755403183,168.782284249278,171.755548211391,86665.0
ALIM,ALIM:US,BBG000QLS2G2,2017-02-27,1.28,1.29,1.22,1.27,379214.0,0.0,1.0,1.28,1.29,1.22,1.27,379214.0
ALJJ,ALJJ:US,BBG000LCQSJ9,2017-02-27,3.94,3.99,3.91,3.93,21919.0,0.0,1.0,3.94,3.99,3.91,3.93,21919.0
ALKS,ALKS:UW,BBG000C9GDZ2,2017-02-27,53.06,55.47,52.54,55.4,1352735.0,0.0,1.0,53.06,55.47,52.54,55.4,1352735.0
ALLT,ALLT:UW,BBG000BKXXY6,2017-02-27,4.89,4.97,4.88,4.93,59413.0,0.0,1.0,4.89,4.97,4.88,4.93,59413.0
ALNY,ALNY:UW,BBG000BFGYR2,2017-02-27,46.73,51.55,46.5998,51.31,1305395.0,0.0,1.0,46.73,51.55,46.5998,51.31,1305395.0
ALOG,ALOG:UW,BBG000BBM980,2017-02-27,81.3,83.7,81.3,83.4,75787.0,0.0,1.0,81.0722161088044,83.4654918610938,81.0722161088044,83.1663323920576,75787.0
ALOT,ALOT:US,BBG000BBMCY4,2017-02-27,13.65,13.8,13.5,13.65,2242.0,0.0,1.0,13.5159954318346,13.6645228541625,13.3674680095068,13.5159954318346,2242.0
ALPN,ALPN:US,BBG001J2LL66,2017-02-27,2.61,2.84,2.6,2.79,535041.0,0.0,1.0,41.76,45.44,41.6,44.64,33440.0625
